0 -1.09646e-16
0.147262 0.291968
0.294524 0.558792
0.441786 0.777493
0.589049 0.929237
0.736311 1.00096
0.883573 0.986473
1.03084 0.887035
1.1781 0.711207
1.32536 0.47413
1.47262 0.196222
1.61988 -0.0985855
1.76715 -0.384903
1.91441 -0.638072
2.06167 -0.836291
2.20893 -0.962489
2.35619 -1.0058
2.50346 -0.962489
2.65072 -0.836291
2.79798 -0.638072
2.94524 -0.384903
3.09251 -0.0985855
3.23977 0.196222
3.38703 0.47413
3.53429 0.711207
3.68155 0.887035
3.82882 0.986473
3.97608 1.00096
4.12334 0.929237
4.2706 0.777493
4.41786 0.558792
4.56513 0.291968
