# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.244624704122543335e-01 1.000000000000000000e+00 2.796113252639770508e+00 1.253966093063354492e-01 1.000000000000000000e+00 2.796113252639770508e+00 9.832922220230102539e-01
1.000000000000000000e+03 1.124489068984985352e+00 8.358812332153320312e-01 9.003055095672607422e-01 1.052936196327209473e+00 8.358812332153320312e-01 9.003055095672607422e-01 9.509792923927307129e-01
2.000000000000000000e+03 2.824312448501586914e-01 2.275028377771377563e-01 4.000000000000000000e+00 2.856254577636718750e-01 2.275028377771377563e-01 4.000000000000000000e+00 1.091521978378295898e+00
3.000000000000000000e+03 2.824313342571258545e-01 2.275027334690093994e-01 4.000000000000000000e+00 2.856255769729614258e-01 2.275027334690093994e-01 4.000000000000000000e+00 1.091522097587585449e+00
4.000000000000000000e+03 2.824293076992034912e-01 2.275047749280929565e-01 4.000000000000000000e+00 2.856235206127166748e-01 2.275047749280929565e-01 4.000000000000000000e+00 1.091520905494689941e+00
5.000000000000000000e+03 2.824335992336273193e-01 2.275004535913467407e-01 4.000000000000000000e+00 2.856278121471405029e-01 2.275004535913467407e-01 4.000000000000000000e+00 1.091523408889770508e+00
6.000000000000000000e+03 2.820433378219604492e-01 2.278910726308822632e-01 4.000000000000000000e+00 2.852351069450378418e-01 2.278910726308822632e-01 4.000000000000000000e+00 1.091299176216125488e+00
7.000000000000000000e+03 8.302037417888641357e-02 5.605657100677490234e-01 4.000000000000000000e+00 8.462239056825637817e-02 5.605657100677490234e-01 4.000000000000000000e+00 9.917408227920532227e-01
8.000000000000000000e+03 2.380894571542739868e-01 2.760983109474182129e-01 4.000000000000000000e+00 2.409995943307876587e-01 2.760983109474182129e-01 4.000000000000000000e+00 1.066373229026794434e+00
9.000000000000000000e+03 2.827360928058624268e-01 2.271981835365295410e-01 4.000000000000000000e+00 2.859321534633636475e-01 2.271981835365295410e-01 4.000000000000000000e+00 1.091697096824645996e+00
1.000000000000000000e+04 2.823171615600585938e-01 2.276169210672378540e-01 4.000000000000000000e+00 2.855106592178344727e-01 2.276169210672378540e-01 4.000000000000000000e+00 1.091456532478332520e+00
